topic,st,class
g213 草案-立法-全国人大,立法,2
g1200 子-王-明,其他,2
g776 头发-身材-胖,身材,2
g1205 亩-种植-粮食,粮食,0
g257 陷入-破产-命运,破产,1
g643 开发区-高新区-杭州市,开发区,2
g331 普通人-一辈子-富有,普通人,2
g1068 信任-付出-尊重,付出,2
g1227 新股申购-深南电路-科创信息,新股申购,1
g25 工程-建筑-基建,基建,0
g1197 俱乐部-足球-世界杯,足球,2
g1126 水务-环卫-环境监测,环卫,0
g929 乔布斯-约翰-比尔,乔布斯,0
g372 英雄-天堂-工作室,天堂,2
g733 大选-马克-议员,议员,2
g906 低调-性格-气质,气质,2
g1321 外观-内饰-车身,内饰,0
g126 国债逆回购-现金宝-日年化,收益率,1
g1031 文革-抗战-毛主席,文革,2
g1179 铜矿-mining-俄铝,矿产,0
g463 玩-玩法-爽,玩法,2
g1097 谷底-年月日-捣蛋,谷底,1
g79 dggkf2-繫-刪,其他,2
g172 天生-无知-平庸,无知,2
g554 高手-选股-牛股,选股,1
g736 股权-转让-报告书,股权,1
g5 艺术-创作-摄影,创作,2
g254 天天-好好-开心,开心,2
g723 董明珠-近东-郭广昌,董事长,1
g268 犹如-头上-紧紧,紧紧,2
g922 移民-回国-公民,公民,2
g567 陈述-征集-胜诉,胜诉,1
g1230 游戏-玩家-手游,手游,0
g1226 进-换-转,换,1
g873 阅读-书-读,阅读,2
g738 涉案-罪-因涉嫌,涉案,2
g928 时间-周期-长,周期,1
g175 光伏-电站-分布式,电站,0
g344 遭其-时空客-中搜网络,其他,2
g1037 文章-讨论-提到,讨论,2
g1209 委员会-主任-协会,主任,2
g114 j-a2-b3,其他,2
g1138 芯片-中兴-芯,芯片,0
g521 碳纤维-玻-叶片,叶片,0
g122 家里-回家-儿子,回家,2
g1285 覆盖-多种-涵盖,涵盖,1
g1245 名单-榜-榜单,榜单,1
g1027 航空-机场-航空公司,机场,0
g854 零部件-电机-部件,电机,0
g1255 男性-成人-成年人,成人,2
g1090 军-部队-指挥,部队,2
g1251 厉害-超级-最强,超级,2
g201 毛利率-三季度-归母,毛利率,1
g735 一波-底-顶,顶,1
g292 处罚-操纵-罚款,操纵,1
g818 南康-国图-三调,其他,2
g1277 发表-学者-学术,学者,2
g810 体验-风格-形象,风格,2
g107 法院-案件-司法,案件,1
g253 住-房子-房产,房产,0
g57 提供-机构-管理,机构,1
g988 注射液-抗肿瘤-注射用,医疗,0
g960 cross-ema-vol,其他,2
g39 同比-同期-归属于,归属于,1
g506 伐-阿卡-厄,其他,2
g580 警察-男子-受害者,受害者,2
g812 网络-移动-通信,移动,0
g504 上海-上海市-浦东,上海,2
g833 地产-恒大-融创,恒大,0
g388 一朝-毒药-伤人,伤人,2
g1249 分钟-早上-晚上,早上,2
g1129 首席执行官-库克-alphabet,库克,0
g91 架构-服务器-cloud,服务器,0
g970 表面-透明-体,透明,0
g119 制剂-原料药-抗生素,医药,0
g751 发行人-首发-保荐,首发,1
g34 企业家-家族-首富,家族,2
g250 几十万-一万-几百万,其他,2
g722 敦华石油-天翔昌运-九如环境,环保,0
g319 面积-平方米-用地,面积,2
g37 房间-室内-布置,布置,2
g1131 著名-大佬-人物,大佬,2
g1194 机会-早-放弃,放弃,2
g233 高校-大学生-学历,学历,2
g206 中医-养生-中医药,中医药,0
g227 充电-能量-容量,能量,0
g85 债权-货币市场-票据,货币市场,1
g684 中南-中天-亚泰,中天,0
g808 疗效-副作用-注射,疗效,0
g860 煤炭-煤-焦炭,媒,0
g1315 化妆品-用品-美容,化妆品,0
g698 家电-电视-海尔,家电,0
g1265 执业-证书编号-30001,执业,1
g409 反身-钟摆-可越,反身,2
g1106 流动性-利率-央行,利率,1
g718 表决-计票-召集人,计票,1
g1261 平台-在线-上线,在线,2
g242 牌-德州-底牌,扑克,2
g251 狠-任性-割韭菜,割韭菜,1
g1298 消息-报道-公开,报道,1
g280 费用-费-收取,费用,1
g617 话-这句-这话,其他,2
g1174 中国区-任正非-杨元庆,企业家,0
g1162 轮-本轮-合伙人,合伙人,1
g224 万科-举牌-宝能,举牌,0
g1054 互娱-互动娱乐-极光,娱乐,0
g459 学院-清华大学-北京大学,蛋白,0
g871 蛋白-活性-受体,受体,0
g875 逼-傻-[怒了],其他,2
g1032 标准-方法-原则,方法,2
g424 市场研究-research-咨询公司,咨询公司,1
g430 卫星-轨道-一号,卫星,0
g188 导航-北斗-雷达,导航,0
g899 住宅-平米-楼盘,楼盘,0
g1199 赌博-赌场-赌徒,赌场,2
g1184 创富-100.-怡康,创富,1
g293 交流-粉丝-群,粉丝,2
g1041 送到-物品-摆,物品,2
g109 奥斯卡-电影节-影帝,电影节,0
g1066 法律-利益-承诺,利益,2
g920 用户-微信-广告,微信,0
g1178 中文-语言-词,语言,2
g327 会议-两会-委员,委员,2
g943 老板-老乡-站台,老板,1
g968 俄罗斯-俄-普京,普京,2
g1108 沿线-丝绸之路-中欧,丝绸之路,1
g214 波罗的海-干散货-运价,货运,0
g779 系-系在-系为,其他,2
g238 董事-执行-主席,董事,1
g399 河北-河北省-石家庄,河北,2
g1220 女士-建华-王伟,人名,2
g366 新股-申购-打新,申购,1
g966 天型-盈家-丰裕,,
g1304 提振-避险-路透,,
g1180 战争-军队-作战,军队,0
g464 环球时报-特约记者-特派记者,,
g489 船长-游艇-海里,,
g865 成交量-洗盘-换手率,成交量,1
g537 企业-未来-价值,估值,1
g695 调研-出席-访问,出席,2
g1095 港-港口-沿海,港口,0
g809 万物-风水-阴阳,风水,2
g1077 教授-博士-科学家,科学家,2
g528 展示-亮相-开幕,开幕,2
g517 音频-内置-耳机,耳机,0
g321 主营-配件-特种,配件,0
g1309 四年-三十一日-六月,时间,2
g69 理财产品-上海市分行-本利,理财,0
g749 小姐-小妹-全套,小姐,2
g1198 58-90-70,数字,2
g727 交通-车辆-司机,交通,0
g187 板块-有色-居前,板块,1
g1192 估值-eps-给予,估值,1
g43 配售-行使-发行股本,股票,1
g841 衣服-穿着-鞋,衣服,0
g219 努力-坚定-决心,决心,2
g507 占据-超越-成绩,超越,1
g97 唔-睇-咁,语气,2
g909 型号-空中-飞行,其他,2
g967 小写-拾-元整,文字,2
g685 相-皆-取,其他,2
g217 名人录-老马识途-李金龙,实体,2
g1169 想要-故事-现实,故事,2
g1168 坐在-旁边-大门,姿态,2
g1160 混凝土-防水-砖,建材,0
g223 中国-美国-国家,国家,0
g691 战后-条约-清朝,条约,2
g166 模样-温柔-公主,公主,2
g191 高楼-宽阔-围墙,建筑,2
g1247 htsc-华富国际-安徽海螺水泥股份,基金,0
g1244 做空-止损-多头,做空,1
g1010 学校-校园-中学,学校,2
g1143 2018-连续-月份,月份,2
g74 慢慢-不动-久,慢慢,2
g952 锂-矿-矿业,矿业,0
g839 赞助-奥运会-冬奥会,赞助,2
g505 幸福-感情-爱情,感情,2
g610 谈-表达-这位,表达,2
g116 彩票-博彩-中奖,博彩,0
g436 操作-短线-抄底,操作,1
g734 躺-睡-睡觉,睡觉,2
g652 存储-数据库-传输,数据,0
g418 政府-支出-财政部,支出,1
g329 影响-持续-原因,原因,2
g711 江湖-金庸-武林,江湖,2
g629 硕士-研究生-曾任,履历,2
g628 合作-战略-建立,战略,1
g688 存款-银行存款-计息,计息,1
g473 技术-研发-自主,研发,0
g474 总股本-所持-一致行动人,股本,1
g1142 上涨-下跌-涨幅,涨幅,1
g1060 店-门店-超市,门店,0
g547 _TIME_-2015-计划,计划,1
g307 费率-代销-优惠活动,费率,1
g783 专业-经验-优秀,专业,2
g878 评级-信用评级-主权,评级,1
g123 农民-老家-村民,农民,2
g443 变巨亏-财税字-股票证券,股票证券,1
g604 展现-演绎-魅力,展现,2
g417 协议-合同-签署,合同,1
g1248 两只-多只-几只,数量,2
g51 电影-影视-票房,影视,0
g904 竞价-水下-泰和,竞价,1
g502 融资-融-圈钱,融资,1
g556 約-億元-幣,钱币,1
g1196 运动-跑步-爱好者,运动,2
g429 通科技-天信-国政,科技,0
g404 肉-吃面-汤,食品,0
g592 信仰-上帝-宗教,信仰,2
g27 官方-回答-互动,问答,2
g93 经济-杠杆-供给,经济,2
g1296 兵-赖-三人,兵,2
g1104 场所-大妈-门口,场所,2
g1069 胶囊-颗粒-复方,胶囊,0
g83 竞争-巨头-激烈,竞争,1
g694 000000-函暨-华圣,华圣,2
g1043 金融-金融机构-牌照,金融机构,0
g866 学生-同学-小学,学生,2
g160 威尔-泰克-爱迪生,人名,2
g1017 汇率-贬值-升值,贬值,1
g28 一招-练-术,招式,2
g737 出版-册-文学,出版,0
g971 认证-证书-管理体系,管理体系,0
g364 造-拆-修,造,0
g139 位-排名-第四,名次,2
g356 营业部-北路-深南,券商,1
g1135 投资决策-仅供-准确性,决策,1
g713 减持-增持-公司股票,股票,1
g1186 誰-們-聽,听,2
g821 新材-精机-美特,材料,0
g973 新城-新区-产业园,产业园,0
g185 糖尿病-症-慢性,病症,0
g1137 原油-油价-桶,原油,0
g1116 倪正洋-李富华-何京,人名,2
g577 核电-核-机组,核电,0
g945 新三板-中原传媒-荆楚网,新三板,1
g630 沒-別-給,没,2
g669 观点-参考-仅供参考,观点,2
g743 发行-股份-股东,发行,1
g144 时代-抛弃-辉煌,时代,2
g285 出资-增资-参股,出资,1
g1191 江苏省-浙江省-山东省,省份,2
g965 站-坐-跳,动作,2
g1070 修行-佛教-道德经,修行,2
g845 机型-拍照-新机,手机,0
g861 方式-控制-利用,方式,2
g228 开发者-操作系统-开源,开发者,0
g1128 董事长-行长-副行长,老板,0
g1081 营养-植物-添加剂,营养,0
g324 孩子-父母-小孩,孩子,2
g712 投诉-315-售后,售后,0
g616 音乐-艺人-歌手,音乐,0
g1254 股-股价-个股,股价,1
g656 农村-扶贫-乡村,乡村,2
g203 公里-铁路-高铁,高铁,0
g354 编译-36氪-撰稿,撰稿,0
g371 政治-民众-民主,政治,2
g550 味道-味-口感,口感,2
g1028 印度-中印-印度政府,印度,2
g385 日电-中新网-中新社,新闻,2
g891 bancshares-bankshares-世纪银行,银行,0
g1283 有限公司-子公司-实业,实业,0
g1064 春天-雨-四季,四季,2
g432 解释-说法-质疑,解释,1
g745 代表-类似-「,代表,2
g1003 價位-結構-狀態,价位,1
g884 飞机-架-大飞机,飞机,0
g1243 新零售-无人-业态,新零售,0
g1150 习惯-心情-内心,内心,2
g322 处理器-高性能-cpu,处理器,0
g266 渗透率-交易额-人次,交易额,1
g761 卦-爻动-判市,判市,1
g1051 天下-归来-气势,天下,2
g597 症状-肺-胃,症状,0
g539 酸-中间体-氟,化工产品,0
g17 背离-中枢-浪,中枢,2
g569 生物-生物制药-新药研发,新药研发,0
g974 失败-错误-教训,失败,1
g1075 突破-位置-线,突破,1
g419 能源-石油-油,能源,0
g895 功率-开关-电路,电路,0
g850 宣传-假-骗,宣传,2
g731 华尔街-索罗斯-投资交易,投资交易,1
g108 手段-套路-手法,套路,2
g274 一脸-微笑-大声,微笑,2
g823 不懂不做-算吧-做对,做法,2
g59 前行-征程-风雨,前行,2
g969 成交-手-挂,成交,1
g496 鸡蛋-糖-果,食品,0
g177 地址-办公-大厦,办公,0
g1011 装置-床-煤化工,装置,0
g446 倍-翻倍-翻,翻倍,1
g484 家用-厨房-灯,家用,0
g64 万达-商业地产-郁亮,商业地产,0
g936 曹操-诸葛亮-吴国,三国,2
g840 价格-涨价-价,涨价,1
g1217 曹军-火攻-马谡,三国,2
g1117 速度-节奏-慢,速度,1
g730 领导人-两国-磋商,磋商,1
g667 收益-收益率-到期,收益,1
g681 车展-保时捷-跑车,车站,0
g921 维生素-钛白粉-甲醇,产品,0
g1086 請-謝謝-請問,谢谢,2
g509 礼物-晚会-礼,礼,2
g825 nb-iot-基站,基站,0
g1084 控股股东-控制人-实控,控股股东,1
g750 易方达基金管理有限公司-南方基金管理有限公司-大成基金管理有限公司,基金,0
g856 ａ-ｂ-ｒ,a,2
g739 北京-北京市-朝阳,北京,2
g508 微-二维码-添加,扫,2
g510 武器-炸弹-枪,武器,0
g1300 投资-资本-投,投资,1
g287 公司-行业-业务,业务,0
g651 跑-赢-输,盈亏,1
g326 偏股-易方达消费行业股票-易方达新兴成长,股票,1
g1290 [滴汗]-[摊手]-[为什么],表情,2
g384 吸引-一批-疯狂,吸引,2
g1079 一股-瞬间-气氛,气氛,2
g842 出手-发文-新政,新政,1
g20 kopleader-左方-号哦,其他,2
g811 去世-生前-逝世,去世,2
g828 中环-地皮-太古,地皮,0
g1071 买-卖-便宜,买卖,1
g1282 高峰-季-旺季,高峰,1
g1286 葡萄酒-张裕-红酒,红酒,0
g525 皇帝-太子-公子,太子,2
g454 佳宇-jx01-锦天,其他,2
g797 总理-驻-外交部,外交部,2
g714 国土-农业部-城乡建设,城乡建设,0
g799 物业-房屋-租金,物业,0
g1269 百战不殆-孙子兵法-兵法,兵法,2
g857 媒体-财经-新闻,新闻,2
g359 [大笑]-[俏皮]-兄弟,兄弟,2
g598 倡议-2030-联合国,倡议,2
g92 晚间-日讯-网讯,网讯,2
g830 _IMAGE_-报告-推荐,报告,1
g47 国开-cp001-ppn001,国开,0
g271 朗铭科技-达通通信-地大信息,科技公司,0
g481 日本-田-日经,日经,2
g1240 雄安-雄安新区-雄,新区,2
g544 鼓吹-讽刺-无耻,鼓吹,2
g655 介绍-坦言-如是说,介绍,2
g826 变动-报表-投资收益,投资收益,1
g726 纽约-加州-州,加州,2
g197 通-内地-比率,比率,1
g999 中华人民共和国-明确规定-第五条,规定,1
g640 中国南车-世纪游轮-众和股份,企业,0
g281 军工-装备-军民融合,军工,0
g1206 质押-担保-债务,质押,1
g1235 估计-几天-完,估计,2
g979 达康-连城-反贪,反贪,2
g458 昨日涨停-炸板率-非一字板,涨停,1
g216 自然-理由-派,自然,2
g243 张-这张-几张,张,2
g938 新伟科技-侨益股份-丰泽股份,股份公司,0
g817 网络安全-漏洞-泄露,网络安全,0
g894 增长-收入-利润,利润,1
g646 _S_-盘后-诊股,诊股,1
g286 确保-落实-协调,落实,2
g557 物质-含有-人体,物质,2
g248 咨询-查询-后台,咨询,2
g1014 哭-可怜-安慰,安慰,2
g886 智齿-乂-云启,智齿,0
g1279 推出-版-全新,推出,2
g247 鱼-扇贝-钓鱼,鱼,0
g1016 敌进-敌退-敌疲我打,战术,2
g246 体育-健身-赛事,体育,2
g282 牛-行情-牛市,行情,1
g142 关-停-关闭,关闭,1
g798 暴力-偷-报警,暴力,2
g980 重庆-重庆市-渝,重庆,2
g618 死-杀-牺牲,牺牲,2
g343 编辑-实习生-芳,编辑,2
g3 com-邮箱-mail,邮箱,2
g273 包装-箱-罐,包装,0
g110 挂牌-层-浏览,挂牌,2
g1163 天气-气候-自然灾害,自然灾害,2
g2 金价-盎司-非农,金价,0
g1280 通告-二零一-佈,通告,1
g400 离开-留在-家中,离开,2
g975 这片-草原-沙漠,草原,2
g367 坑-小心-碰,小心,2
g1210 _NUMBER_-金额-累计,金额,2
g1157 工人-打工-师傅,工人,2
g252 现象-打击-乱,现象,2
g1154 心脏-皮肤-肌肉,心脏,0
g1302 耐心-心态-淡定,耐心,2
g1223 部长-工信部-司,部长,1
g1055 材料-石墨烯-膜,材料,0
g1021 喝酒-醉-喝多了,喝醉,2
g1263 少-太大-不算,少,2
g16 伊利-啤酒-牛奶,饮品,0
g1074 项目-建设-规划,项目,1
g117 上漲-漲幅-週期,上涨,1
g910 大厂-可望-业者,大厂,0
g1313 內房-恆大-房股,地产商,0
g323 中证-累计收益-联接,累计收益,1
g1049 奉-臣-卒,臣,2
g744 批评-闹-怼,批评,1
g1023 贸易战-中美-谈判,贸易战,1
g682 於-復-併,于,2
g283 净值-场内-定投,净值,1
g1148 权-权利-享有,权利,2
g1189 中国半导体论坛-zmjinrong-lqzk777,半导体,0
g747 钢铁-水泥-方大,建材,0
g990 解限售-农科-新农人,解限售,0
g522 合约-夜盘-期价,合约,1
g995 光电子-中鼎-泰坦,光电子,0
g1264 非法-欺诈-集资,欺诈,1
g86 全国-地区-省,地区,2
g658 研究院-研究所-实验室,研究院,0
g1276 群众-使命-树立,群众,2
g1125 加-降-补,加仓,1
g336 宝腾-宝腾汽车-drb,汽车,0
g674 专电-宋薇萍-王宙洁,专电,0
g987 造车-蔚来汽车-李书福,造车,0
g428 策略-组合-对冲,策略,1
g511 概率-赌-运气,概率,1
g1098 溢价-期权-套利,溢价,1
g444 ︱-ah互动-sisram,其他,2
g801 大卫-姆-罗伯特,外国人,2
g1287 系统-开发-设计,开发,0
g445 帮-回去-帮忙,帮忙,2
g289 天然气-气-管道,天然气,0
g130 马斯克-model-tesla,特斯拉,0
g997 自动-驾驶-无人驾驶,自动驾驶,0
g230 感到-失望-抱,失望,2
g1222 药-临床-药物,药物,0
g156 眼睛-脸上-双手,肢体,2
g768 黑-韭菜-喷,韭菜,1
g513 产品-非-类,产品,1
g1268 肾-咽喉-大便,肾,2
g7 权力-腐败-反腐,反腐,2
g644 掉呢-穷者-想变,穷,2
g328 消费-生活-消费者,消费,1
g270 资产-现金流-股息,资产,1
g642 四川省-湖北省-湖南省,省份,2
g639 本所自-龙视星-残友善务,其他,2
g190 明天-跟风-封,跟风,2
g531 财政局-镇江-太湖,财政局,2
g1320 带领-任命-出任,任命,1
g56 好吃-火锅-地道,地道,0
g1034 县政府-镇政府-阜阳市,政府,2
g467 接到-推销-上门,推销,0
g1092 手术-ct-口腔,手术,0
g704 国企-改-混合,混改,0
g519 通知-意见-实施,实施,1
g815 子弹-打出-认,子弹,2
g333 量产-京东方-led,led,0
g634 grf-sot-委债,委债,2
g1203 不错-差-远,差,2
g653 点击-查看-设置,查看,2
g471 专项-补贴-扶持,补贴,0
g249 特朗普-总统-美国政府,特朗普,2
g1173 董事会-独立-年度股东大会,股东大会,1
g687 石墨电极-焦-石墨,石墨,0
g794 [吐血]-[哭泣]-套,表情,2
g145 bank-lending-银行家,银行业,0
g134 黄牌-欲购从速-一生一股,黄牌,1
g709 对冲基金-私募股权-摩根,基金,1
g297 nyse-中国概念股-搜房网,概念股,1
g1241 电极-导电-介质,介质,0
g1134 王朝-明朝-诸侯,诸侯,2
g931 盖章-身份证件-复印件,身份证,2
g552 茅台-白酒-酒,白酒,0
g462 易方达安心回报-110022-易方达增强回报,基金,0
g245 文在寅-金正恩-高级别,韩国,2
g442 太阳-天空-角落,天空,2
g690 起伏-大海-淹没,大海,2
g425 集团-控股-下属,集团,0
g540 街-镇-街道,街道,2
g1105 租赁-证券化-融资租赁,融资租赁,1
g256 中期-止-日止,停止,1
g882 王老吉-核桃-老字号,王老吉,0
g883 大道-大街-建国,大街,2
g480 cpi-国家统计局-m2,cpi,2
g95 基点-厘-金管局,基点,1
g317 赚-赚钱-亏损,赚钱,1
g1132 市场经济-统治-资本主义,市场经济,1
g208 思维-心理-自我,心理,2
g724 强-具备-性,强,2
g1317 威胁-对抗-阻止,威胁,2
g1052 书记-市长-党委书记,市长,2
g475 活动-专家-参加,活动,2
g482 讯-techweb-pingwest,网讯,0
g632 制造商-博世-库卡,制造商,0
g679 环保-治理-清洁,环保,0
g590 郑震湘-武超-杨明辉,人民,2
g996 lbtav-tomoka-ctws,其他,2
g1266 广东-广东省-珠海,广东,2
g1029 搞-弄-这事,其他,2
g1093 精密-组装-整机,精密,0
